#index RAdeg DECdeg dist V-J specind HIPindex Vmag HIPmag Jmag Hmag Kmag MV B-V HIPV-I V-I Teff SpT Blum HZseparcsec HZcontrast mass FLAG(SUPERBLINK) FLAG(2MASSCNS3) FLAG(CNS3) FLAG(HIPS) FLAG(HIPD) FLAG(RECONS) name
102 358.456421 -75.631607 9.993005 3.540000 7.200000 117828 9.990000 10.036700 6.450000 5.780000 5.550000 9.991519 1.466000 1.880000 1.880000 3532.164062 7.177025 0.036878 0.019217 4.71829e-09 0.48919 1 1 0 1 0 0 PMI_J23538-7537  
103 98.433250 -75.630669 8.758101 3.610000 7.200000 31293 10.350000 10.499000 6.720000 6.150000 5.860000 10.637951 -100.000000 -100.000000 2.360653 3360.732910 7.263303 0.027271 0.018856 6.38046e-09 0.404036 1 1 0 1 1 0 PMI_J06337-7537S 
105 98.448090 -75.625610 8.681309 3.610000 7.200000 31292 11.410000 11.490300 7.410000 6.850000 6.560000 11.717073 -100.000000 -100.000000 2.551235 3229.598389 7.325201 0.012760 0.013012 1.36366e-08 0.329759 1 1 0 1 0 0 PMI_J06337-7537N 
106 24.866167 -75.603920 16.778524 4.870000 7.500000 -100 14.740000 -100.000000 9.870000 9.240000 8.970000 13.616231 -100.000000 -100.000000 3.161389 2923.713135 7.474422 0.004174 0.003851 4.16852e-08 0.17302 1 1 0 0 0 0 PMI_J01394-7536  
110 343.949585 -75.456093 8.615491 3.800000 7.300000 113229 10.420000 10.373200 6.616000 6.084000 5.811000 10.743600 1.485000 2.430000 2.430000 3294.513184 7.293403 0.028107 0.019459 6.19052e-09 0.367916 1 1 0 1 0 0 Gl877
115 292.409637 -74.745087 15.037594 3.890000 7.300000 -100 12.180000 -100.000000 8.290000 7.720000 7.450000 11.294108 -100.000000 -100.000000 2.492134 3261.894287 7.309053 0.017909 0.008899 9.71585e-09 0.349137 1 1 0 0 0 0 PMI_J19296-7444  
119 167.502045 -74.604225 16.207455 4.460000 7.400000 -100 13.700000 -100.000000 9.240000 8.610000 8.350000 12.651425 -100.000000 -100.000000 2.905870 3042.427490 7.417892 0.007505 0.005345 2.31852e-08 0.223897 1 1 0 0 0 0 PMI_J11100-7436  
120 173.748749 -74.602501 16.181231 3.490000 7.200000 -100 11.330000 -100.000000 7.840000 7.200000 7.010000 10.284943 -100.000000 -100.000000 2.236601 3462.566406 7.217015 0.031026 0.010886 5.60813e-09 0.459582 1 1 0 0 0 0 PMI_J11349-7436  
125 347.455597 -74.129669 16.286646 4.550000 7.400000 -100 13.920000 -100.000000 9.370000 8.720000 8.490000 12.860842 -100.000000 -100.000000 2.970707 3012.304443 7.432236 0.006681 0.005019 2.60434e-08 0.210988 1 1 0 0 0 0 PMI_J23098-7407  
127 103.157669 -73.970970 19.841270 4.060000 7.300000 -100 13.200000 -100.000000 9.140000 8.560000 8.280000 11.712152 -100.000000 -100.000000 2.609752 3197.622070 7.341189 0.013476 0.005851 1.2912e-08 0.310573 1 1 0 0 0 0 PMI_J06526-7358  
128 218.041290 -73.960831 16.393442 4.990000 7.500000 -100 14.970000 -100.000000 9.980000 9.400000 9.110000 13.896649 -100.000000 -100.000000 3.223696 2894.765381 7.488207 0.003470 0.003594 5.01382e-08 0.160614 1 1 0 0 0 0 PMI_J14321-7357  
135 208.866577 -73.494698 19.455254 3.450000 7.200000 -100 11.630000 -100.000000 8.180000 7.580000 7.350000 10.184815 -100.000000 -100.000000 2.194421 3497.192139 7.201276 0.031829 0.009170 5.46672e-09 0.478468 1 1 0 0 0 0 PMI_J13554-7329  
138 199.804382 -73.285362 19.646366 4.380000 7.400000 -100 13.930000 -100.000000 9.550000 8.960000 8.720000 12.463589 -100.000000 -100.000000 2.781848 3103.580322 7.388210 0.007815 0.004500 2.22648e-08 0.254148 1 1 0 0 0 0 PMI_J13192-7317  
140 359.911499 -73.155197 18.484289 3.840000 7.300000 -100 12.500000 -100.000000 8.660000 8.030000 7.830000 11.165986 -100.000000 -100.000000 2.441320 3294.513184 7.293403 0.019049 0.007467 9.13443e-09 0.367916 1 1 0 0 0 0 PMI_J23596-7309  
146 252.105927 -72.974792 15.880578 3.320000 7.100000 82256 11.360000 11.380200 8.040000 7.479000 7.224000 10.355668 1.600000 2.090000 2.090000 3603.160400 7.126314 0.024932 0.009943 6.97888e-09 0.509474 1 1 0 1 0 0 Gl637
152 135.412415 -72.671387 16.207455 4.150000 7.400000 -100 12.970000 -100.000000 8.820000 8.240000 7.990000 11.921426 -100.000000 -100.000000 2.667689 3165.962402 7.357019 0.011678 0.006668 1.48996e-08 0.291577 1 1 0 0 0 0 PMI_J09016-7240  
160 327.271973 -72.101784 16.129032 3.000000 7.000000 107705 9.530000 9.912000 6.535000 5.840000 5.648000 8.491959 1.420000 1.840000 1.840000 3786.957520 7.013555 0.113121 0.020853 1.53817e-09 0.571867 1 1 0 1 1 0 GJ1264
161 7.767625 -72.018303 16.366611 4.540000 7.400000 -100 13.910000 -100.000000 9.370000 8.740000 8.440000 12.840206 -100.000000 -100.000000 2.970707 3012.304443 7.432236 0.006809 0.005042 2.55531e-08 0.210988 1 1 0 0 0 0 PMI_J00310-7201  
163 184.897995 -71.984581 19.455254 2.810000 6.700000 -100 10.100000 -100.000000 7.290000 6.660000 6.470000 8.654816 -100.000000 -100.000000 1.747365 3901.706299 6.858294 0.086721 0.015136 2.00644e-09 0.608341 1 1 0 0 0 0 PMI_J12195-7159  
169 225.531998 -71.300392 16.051365 4.180000 7.400000 -100 13.020000 -100.000000 8.840000 8.200000 7.960000 11.992440 -100.000000 -100.000000 2.725052 3134.616211 7.372692 0.011489 0.006678 1.51448e-08 0.27277 1 1 0 0 0 0 PMI_J15021-7118  
170 189.117752 -71.140221 17.985611 2.820000 6.700000 -100 9.950000 -100.000000 7.130000 6.440000 6.230000 8.675374 -100.000000 -100.000000 1.797971 3863.075439 6.896924 0.088491 0.016540 1.96631e-09 0.600615 1 1 0 0 0 0 PMI_J12364-7108  
173 358.355042 -70.944748 10.460251 4.750000 7.500000 -100 13.430000 -100.000000 8.680000 8.100000 7.780000 13.332290 -100.000000 -100.000000 3.098459 2952.950195 7.460500 0.005033 0.006782 3.45705e-08 0.18555 1 1 0 0 0 0 PMI_J23534-7056  
181 41.509335 -70.401749 13.908206 5.230000 7.600000 -100 15.070000 -100.000000 9.840000 9.330000 9.020000 14.353644 -100.000000 -100.000000 3.296181 2866.104248 7.502292 0.002456 0.003563 7.08419e-08 0.148854 1 1 0 0 0 0 PMI_J02460-7024  
183 243.274704 -70.152222 16.611296 4.720000 7.500000 -100 13.980000 -100.000000 9.262000 8.735000 8.388000 12.877982 -100.000000 -100.000000 3.034901 2982.479736 7.446438 0.007095 0.005071 2.45248e-08 0.198206 1 1 0 0 0 0 GJ3943
185 98.091377 -69.962196 11.350738 5.040000 7.500000 -100 14.270000 -100.000000 9.226000 8.609000 8.378000 13.994880 -100.000000 -100.000000 3.223696 2894.765381 7.488207 0.003170 0.004960 5.48859e-08 0.160614 1 1 0 0 0 0 GJ3397
202 154.684464 -68.325996 13.850415 3.390000 7.100000 -100 10.740000 -100.000000 7.350000 6.840000 6.530000 10.032686 -100.000000 -100.000000 2.164350 3532.164062 7.177025 0.035506 0.013605 4.90062e-09 0.48919 1 1 0 0 0 0 PMI_J10187-6819  
203 124.531792 -68.313026 12.919897 3.870000 7.300000 -100 11.800000 -100.000000 7.930000 7.360000 7.100000 11.243705 -100.000000 -100.000000 2.492134 3261.894287 7.309053 0.018760 0.010601 9.27511e-09 0.349137 1 1 0 0 0 0 PMI_J08181-6818  
209 351.354736 -67.668892 17.636684 4.820000 7.500000 -100 14.730000 -100.000000 9.910000 9.330000 9.050000 13.497915 -100.000000 -100.000000 3.098459 2952.950195 7.460500 0.004321 0.003727 4.02676e-08 0.18555 1 1 0 0 0 0 PMI_J23254-6740  
214 17.592937 -67.446342 8.194035 3.800000 7.300000 5496 9.800000 9.813500 5.997000 5.409000 5.132000 10.232512 1.568000 2.520000 2.520000 3261.894287 7.309053 0.047611 0.026629 3.65462e-09 0.349137 1 1 0 1 0 0 Gl54
216 177.338959 -67.311859 18.975332 3.710000 7.200000 -100 12.230000 -100.000000 8.520000 7.900000 7.650000 10.839052 -100.000000 -100.000000 2.401187 3327.458252 7.278428 0.024159 0.008191 7.20215e-09 0.385886 1 1 0 0 0 0 PMI_J11493-6718  
219 28.404499 -66.892830 15.576324 3.590000 7.200000 -100 11.500000 -100.000000 7.910000 7.280000 6.990000 10.537675 -100.000000 -100.000000 2.360653 3360.732910 7.263303 0.029909 0.011103 5.81757e-09 0.404036 1 1 0 0 0 0 PMI_J01536-6653  
222 31.846916 -66.569885 15.479877 3.570000 7.200000 -100 11.700000 -100.000000 8.132000 7.613000 7.364000 10.751163 -100.000000 -100.000000 2.236601 3462.566406 7.217015 0.020195 0.009180 8.61601e-09 0.459582 1 1 0 0 0 0 Gl85
228 336.095612 -65.976692 17.152658 4.020000 7.300000 -100 12.790000 -100.000000 8.770000 8.190000 7.930000 11.618342 -100.000000 -100.000000 2.609752 3197.622070 7.341189 0.014692 0.007067 1.18432e-08 0.310573 1 1 0 0 0 0 PMI_J22243-6558  
229 1.578760 -65.839195 16.708437 3.690000 7.200000 523 12.170000 12.216600 8.479000 7.839000 7.631000 11.055321 1.550000 2.440000 2.440000 3327.458252 7.278428 0.019796 0.008421 8.78962e-09 0.385886 1 1 0 1 0 0 GJ3006
233 301.019745 -65.600365 13.386881 3.560000 7.200000 -100 11.360000 -100.000000 7.796000 7.284000 7.057000 10.726603 -100.000000 -100.000000 2.236601 3462.566406 7.217015 0.020657 0.010736 8.42329e-09 0.459582 1 1 0 0 0 0 Gl774A
234 301.008118 -65.599525 13.386881 3.470000 7.200000 -100 12.340000 -100.000000 8.871000 8.378000 8.129000 11.706603 -100.000000 -100.000000 2.164350 3532.164062 7.177025 0.007599 0.006512 2.28991e-08 0.48919 1 1 0 0 0 0 Gl774B
235 335.429230 -65.526184 18.639330 3.660000 7.200000 110400 12.110000 12.085800 8.450000 7.877000 7.644000 10.757848 1.653000 2.730000 2.730000 3294.513184 7.293403 0.027741 0.008936 6.27229e-09 0.367916 1 1 0 1 0 0 GJ4273
238 339.619110 -65.378113 14.827995 4.230000 7.400000 111766 11.500000 12.133000 7.271000 6.721000 6.428000 10.644588 1.593000 2.710000 2.710000 3134.616211 7.372692 0.039758 0.013447 4.37646e-09 0.27277 1 1 0 1 1 0 Gl865
239 16.028959 -65.374252 14.577259 4.750000 7.500000 -100 14.150000 -100.000000 9.400000 8.840000 8.530000 13.331620 -100.000000 -100.000000 3.098459 2952.950195 7.460500 0.005036 0.004868 3.45492e-08 0.18555 1 1 0 0 0 0 PMI_J01041-6522  
242 176.054993 -65.268585 6.172840 6.290000 7.700000 -100 15.310000 -100.000000 9.020000 8.400000 8.180000 16.357576 -100.000000 -100.000000 3.981065 2727.000000 7.584117 0.000601 0.003970 2.89752e-07 0.107941 1 1 0 0 0 0 PMI_J11442-6516  
246 251.979828 -65.153221 18.281536 4.600000 7.400000 -100 14.290000 -100.000000 9.690000 9.170000 8.880000 12.979937 -100.000000 -100.000000 2.905870 3042.427490 7.417892 0.005545 0.004073 3.13773e-08 0.223897 1 1 0 0 0 0 PMI_J16479-6509  
260 14.302000 -64.256668 13.020833 4.190000 7.400000 -100 12.590000 -100.000000 8.400000 7.820000 7.600000 12.016807 -100.000000 -100.000000 2.667689 3165.962402 7.357019 0.010696 0.007943 1.62677e-08 0.291577 1 1 0 0 0 0 PMI_J00572-6415  
263 61.508167 -64.093582 17.361111 3.160000 7.100000 -100 10.650000 -100.000000 7.490000 6.850000 6.630000 9.452112 -100.000000 -100.000000 2.027485 3675.583740 7.079068 0.053350 0.013304 3.26147e-09 0.532559 1 1 0 0 0 0 PMI_J04060-6405  
267 156.029205 -63.998585 18.761726 3.080000 7.000000 -100 10.620000 -100.000000 7.540000 6.850000 6.660000 9.253636 -100.000000 -100.000000 1.978405 3712.339600 7.057447 0.061305 0.013197 2.83825e-09 0.545532 1 1 0 0 0 0 PMI_J10241-6359  
269 50.215790 -63.864582 13.106160 4.720000 7.500000 -100 13.850000 -100.000000 9.130000 8.540000 8.190000 13.262623 -100.000000 -100.000000 3.098459 2952.950195 7.460500 0.005367 0.005590 3.24219e-08 0.18555 1 1 0 0 0 0 PMI_J03208-6351  
270 308.720459 -63.796001 19.011406 4.300000 7.400000 -100 13.670000 -100.000000 9.370000 8.760000 8.510000 12.274929 -100.000000 -100.000000 2.781848 3103.580322 7.388210 0.009298 0.005072 1.87135e-08 0.254148 1 1 0 0 0 0 PMI_J20348-6347  
277 43.086998 -63.681355 11.645511 3.690000 7.200000 13389 11.360000 11.427800 7.671000 7.115000 6.829000 11.029207 1.549000 2.400000 2.400000 3327.458252 7.278428 0.020278 0.012228 8.58073e-09 0.385886 1 1 0 1 0 0 Gl118
278 284.919495 -63.456112 15.432098 4.280000 7.400000 -100 13.170000 -100.000000 8.890000 8.420000 8.080000 12.227875 -100.000000 -100.000000 2.725052 3134.616211 7.372692 0.009249 0.006232 1.88121e-08 0.27277 1 1 0 0 0 0 PMI_J18596-6327  
285 32.825249 -63.228085 13.986014 3.930000 7.300000 -100 12.470000 -100.000000 8.544000 7.983000 7.726000 11.741530 -100.000000 -100.000000 2.492134 3261.894287 7.309053 0.011860 0.007787 1.46707e-08 0.349137 1 1 0 0 0 0 GJ3141
286 195.333969 -63.194054 16.966406 3.160000 7.100000 63550 10.920000 11.018100 7.757000 7.149000 6.934000 9.772051 1.490000 2.010000 2.010000 3712.339600 7.057447 0.038031 0.011494 4.57526e-09 0.545532 1 1 0 1 0 0 GJ3759
288 327.357971 -63.114418 16.583748 4.240000 7.400000 -100 12.980000 -100.000000 8.739000 8.117000 7.886000 11.881586 -100.000000 -100.000000 2.725052 3134.616211 7.372692 0.012724 0.006802 1.36749e-08 0.27277 1 1 0 0 0 0 GJ4222
294 293.652008 -62.844055 16.583748 3.960000 7.300000 -100 12.550000 -100.000000 8.591000 7.998000 7.770000 11.451587 -100.000000 -100.000000 2.551235 3229.598389 7.325201 0.016294 0.007697 1.06785e-08 0.329759 1 1 0 0 0 0 Gl762
297 262.030579 -62.453945 16.233767 4.510000 7.400000 -100 12.930000 -100.000000 8.422000 7.847000 7.567000 11.877904 -100.000000 -100.000000 2.905870 3042.427490 7.417892 0.015302 0.007620 1.13711e-08 0.223897 1 1 0 0 0 0 GJ1218
304 110.216835 -62.169945 11.976048 4.310000 7.400000 -100 12.690000 -100.000000 8.380000 7.840000 7.510000 12.298432 -100.000000 -100.000000 2.781848 3103.580322 7.388210 0.009099 0.007965 1.9123e-08 0.254148 1 1 0 0 0 0 PMI_J07208-6210  
305 67.023788 -62.156944 13.262600 4.560000 7.400000 -100 13.500000 -100.000000 8.940000 8.340000 8.010000 12.886857 -100.000000 -100.000000 2.970707 3012.304443 7.432236 0.006523 0.006090 2.6675e-08 0.210988 1 1 0 0 0 0 PMI_J04280-6209  
309 139.108246 -62.071110 17.064846 4.440000 7.400000 -100 12.910000 -100.000000 8.465000 7.834000 7.545000 11.749488 -100.000000 -100.000000 2.905870 3042.427490 7.417892 0.017223 0.007690 1.01027e-08 0.223897 1 1 0 0 0 0 GJ3545
311 282.610565 -62.051178 16.194332 3.510000 7.200000 92451 10.740000 10.772700 7.562000 6.983000 6.704000 9.693185 1.480000 2.020000 2.020000 3675.583740 7.079068 0.042727 0.012764 4.07233e-09 0.532559 1 1 0 1 0 0 GJ4079
323 239.301666 -61.482113 14.513788 4.600000 7.400000 -100 13.790000 -100.000000 9.190000 8.600000 8.350000 12.981096 -100.000000 -100.000000 2.970707 3012.304443 7.432236 0.005981 0.005328 2.90938e-08 0.210988 1 1 0 0 0 0 PMI_J15572-6128  
327 91.991997 -61.252918 18.214935 4.820000 7.500000 -100 14.800000 -100.000000 9.980000 9.380000 9.100000 13.497862 -100.000000 -100.000000 3.098459 2952.950195 7.460500 0.004321 0.003609 4.02656e-08 0.18555 1 1 0 0 0 0 PMI_J06079-6115  
341 283.000702 -60.769806 16.025640 4.530000 7.400000 -100 13.840000 -100.000000 9.305000 8.720000 8.457000 12.815923 -100.000000 -100.000000 2.905870 3042.427490 7.417892 0.006450 0.005011 2.6978e-08 0.223897 1 1 0 0 0 0 GJ4081
348 35.684040 -60.379890 13.404826 4.580000 7.400000 -100 13.570000 -100.000000 8.990000 8.390000 8.100000 12.933694 -100.000000 -100.000000 2.970707 3012.304443 7.432236 0.006248 0.005896 2.78509e-08 0.210988 1 1 0 0 0 0 PMI_J02227-6022  
350 140.410797 -60.282394 10.462440 3.050000 7.000000 45908 9.490000 9.534400 6.442000 5.793000 5.587000 9.391835 1.472000 1.960000 1.960000 3749.462891 7.035610 0.051642 0.021720 3.36935e-09 0.558634 1 1 0 1 0 0 Gl341
353 110.836456 -60.103668 16.447369 3.960000 7.300000 -100 12.550000 -100.000000 8.590000 8.020000 7.760000 11.469518 -100.000000 -100.000000 2.551235 3229.598389 7.325201 0.016028 0.007697 1.08563e-08 0.329759 1 1 0 0 0 0 PMI_J07233-6006  
358 289.921631 -59.922085 12.453300 5.060000 7.500000 -100 14.510000 -100.000000 9.450000 8.890000 8.610000 14.033578 -100.000000 -100.000000 3.223696 2894.765381 7.488207 0.003059 0.004441 5.68775e-08 0.160614 1 1 0 0 0 0 PMI_J19196-5955  
363 329.890320 -59.752510 11.986096 3.130000 7.000000 108569 9.740000 9.793400 6.613000 5.990000 5.757000 9.346611 1.479000 1.990000 1.990000 3712.339600 7.057447 0.056274 0.019791 3.092e-09 0.545532 1 1 0 1 0 0 Gl842
369 39.135250 -59.468250 9.643202 5.180000 7.500000 -100 14.460000 -100.000000 9.280000 8.690000 8.340000 14.538894 -100.000000 -100.000000 3.435897 2837.727051 7.518984 0.002264 0.004934 7.68534e-08 0.140508 1 1 0 0 0 0 PMI_J02365-5928  
370 320.309174 -59.464027 18.796993 4.770000 7.500000 -100 14.750000 -100.000000 9.980000 9.430000 9.130000 13.379558 -100.000000 -100.000000 3.098459 2952.950195 7.460500 0.004819 0.003693 3.61087e-08 0.18555 1 1 0 0 0 0 PMI_J21212-5927  
